,distribution,N.d,support.d,sd.d,se.d,ci.d,poor.d,rich.d,distribution.r,party.r,N.r,support.r,sd.r,se.r,ci.r,poor,rich,dminr_dif
205,X10p.u_50r.u_b,44,0.409090909,0.497350273,0.074978375,0.151208303,10,50,X10p.u_50r.u_b,Rep,50,0.52,0.50467205,0.071371406,0.14342621,10,50,-0.110909091
207,X10p.u_r.nc_b,43,0.953488372,0.213082632,0.032494797,0.065577155,10,0,X10p.u_r.nc_b,Rep,51,0.941176471,0.23763541,0.033275613,0.066836036,10,0,0.012311902
209,X15p.d_05r.d_b,50,0.06,0.239897937,0.033926692,0.068178239,-15,-5,X15p.d_05r.d_b,Rep,46,0.130434783,0.340502612,0.050204371,0.101116794,-15,-5,-0.070434783
211,X15p.d_05r.u_b,43,0.11627907,0.324353006,0.04946337,0.099821121,-15,5,X15p.d_05r.u_b,Rep,60,0.216666667,0.415450202,0.05363439,0.107322167,-15,5,-0.100387597
213,X15p.d_10r.d_b,56,0.089285714,0.287736351,0.038450387,0.077056298,-15,-10,X15p.d_10r.d_b,Rep,50,0.2,0.404061018,0.057142857,0.114832871,-15,-10,-0.110714286
215,X15p.d_10r.u_b,52,0.038461538,0.194183909,0.026928463,0.054061146,-15,10,X15p.d_10r.u_b,Rep,51,0.196078431,0.400979194,0.056148318,0.112777216,-15,10,-0.157616893
217,X15p.d_15r.d_b,53,0.113207547,0.319878424,0.043938681,0.088169413,-15,-15,X15p.d_15r.d_b,Rep,49,0.12244898,0.331200661,0.04731438,0.095131937,-15,-15,-0.009241432
219,X15p.d_15r.u_b,54,0.111111111,0.317220634,0.043168261,0.086584566,-15,15,X15p.d_15r.u_b,Rep,47,0.255319149,0.440754546,0.064290658,0.129410383,-15,15,-0.144208038
221,X15p.d_20r.d_b,47,0.063829787,0.247092248,0.036042109,0.072549002,-15,-20,X15p.d_20r.d_b,Rep,56,0.053571429,0.227207783,0.030361917,0.060846642,-15,-20,0.010258359
223,X15p.d_20r.u_b,52,0.076923077,0.269069118,0.037313173,0.074909321,-15,20,X15p.d_20r.u_b,Rep,43,0.23255814,0.427462574,0.065187431,0.131553563,-15,20,-0.155635063
225,X15p.d_25r.d_b,44,0.022727273,0.150755672,0.022727273,0.045833914,-15,-25,X15p.d_25r.d_b,Rep,59,0.101694915,0.304841126,0.039686934,0.07944203,-15,-25,-0.078967643
227,X15p.d_25r.u_b,48,0.020833333,0.144337567,0.020833333,0.041911261,-15,25,X15p.d_25r.u_b,Rep,53,0.132075472,0.341812806,0.0469516,0.094215278,-15,25,-0.111242138
229,X15p.d_30r.d_b,49,0.244897959,0.434483038,0.062069005,0.1247981,-15,-30,X15p.d_30r.d_b,Rep,46,0.173913043,0.383223047,0.056503156,0.113803197,-15,-30,0.070984916
231,X15p.d_30r.u_b,49,0.06122449,0.242226071,0.034603724,0.069575451,-15,30,X15p.d_30r.u_b,Rep,54,0.203703704,0.406532954,0.055322128,0.110962136,-15,30,-0.142479214
233,X15p.d_35r.d_b,56,0.053571429,0.227207783,0.030361917,0.060846642,-15,-35,X15p.d_35r.d_b,Rep,45,0.177777778,0.386645767,0.057637748,0.116161248,-15,-35,-0.124206349
235,X15p.d_35r.u_b,45,0.088888889,0.287799032,0.042902547,0.086464401,-15,35,X15p.d_35r.u_b,Rep,51,0.156862745,0.367290023,0.05143089,0.103301984,-15,35,-0.067973856
237,X15p.d_40r.d_b,50,0.14,0.350509833,0.049569576,0.099613792,-15,-40,X15p.d_40r.d_b,Rep,48,0.145833333,0.356673958,0.051481451,0.103567321,-15,-40,-0.005833333
239,X15p.d_40r.u_b,51,0.078431373,0.271524382,0.038021018,0.076367463,-15,40,X15p.d_40r.u_b,Rep,53,0.20754717,0.409431621,0.056239758,0.112853332,-15,40,-0.129115797
241,X15p.d_45r.d_b,46,0.239130435,0.431265971,0.063586698,0.128070185,-15,-45,X15p.d_45r.d_b,Rep,53,0.226415094,0.422515791,0.058037007,0.116459775,-15,-45,0.01271534
243,X15p.d_45r.u_b,50,0.14,0.350509833,0.049569576,0.099613792,-15,45,X15p.d_45r.u_b,Rep,48,0.229166667,0.424744395,0.061306573,0.123332916,-15,45,-0.089166667
